depth_cm,TiCa_1,FeK_1,depth_cm2,TiCa_2,FeK_2,depth_cm3,TiCa_3,FeK_3,Depth_cm_4,TiCa4,FeK4,depth_cm5,TiCa5,FeK5
184.0,0.74,59.21,816.4,0.49,76.34,1462.6,1.11,82.69,2083.4,0.42,52.53,2704.0,1.01,63.69
184.2,0.61,58.58,816.6,0.52,76.01,1462.8,0.76,82.04,2083.6,0.36,52.62,2704.2,1.16,61.63
184.4,0.64,57.83,816.8,0.43,75.92,1463.0,1.76,82.29,2083.8,0.38,52.45,2704.4,1.38,60.32
184.6,0.71,57.26,817.0,0.52,75.42,1463.2,3.47,83.33,2084.0,0.40,52.13,2704.6,1.30,59.89
184.8,0.54,57.17,817.2,0.56,74.16,1463.4,3.28,84.56,2084.2,0.36,51.78,2704.8,1.24,60.21
185.0,0.57,57.73,817.4,0.48,72.37,1463.6,3.00,85.34,2084.4,0.45,51.51,2705.0,1.43,60.92
185.2,0.73,58.84,817.6,0.52,70.54,1463.8,3.02,85.47,2084.6,0.35,51.35,2705.2,1.06,61.74
185.4,0.74,60.18,817.8,0.51,69.16,1464.0,3.01,85.42,2084.8,0.39,51.27,2705.4,1.07,62.38
185.6,0.80,61.33,818.0,0.52,68.61,1464.2,2.69,86.24,2085.0,0.38,51.21,2705.6,1.24,62.65
185.8,0.62,62.01,818.2,0.58,68.91,1464.4,2.89,88.64,2085.2,0.34,51.18,2705.8,1.06,62.47
186.0,0.60,62.19,818.4,0.51,69.70,1464.6,2.22,92.21,2085.4,0.40,51.19,2706.0,0.94,61.94
186.2,0.70,62.04,818.6,0.47,70.52,1464.8,2.71,95.72,2085.6,0.37,51.27,2706.2,0.70,61.25
186.4,0.69,61.76,818.8,0.51,70.88,1465.0,1.25,97.66,2085.8,0.35,51.50,2706.4,0.85,60.56
186.6,0.50,61.40,819.0,0.44,70.36,1465.2,1.23,97.02,2086.0,0.40,51.98,2706.6,0.94,60.00
186.8,0.62,60.95,819.2,0.53,68.90,1465.4,2.25,93.92,2086.2,0.47,52.81,2706.8,0.71,59.60
187.0,0.55,60.31,819.4,0.42,66.75,1465.6,2.01,89.63,2086.4,0.41,54.12,2707.0,0.87,59.36
187.2,0.62,59.51,819.6,0.49,64.33,1465.8,2.30,85.67,2086.6,0.38,55.87,2707.2,0.83,59.30
187.4,0.66,58.67,819.8,0.47,62.05,1466.0,1.97,82.97,2086.8,0.38,57.78,2707.4,0.78,59.41
187.6,0.65,58.04,820.0,0.46,60.17,1466.2,2.11,81.62,2087.0,0.38,59.33,2707.6,0.80,59.71
187.8,0.62,57.77,820.2,0.44,58.78,1466.4,2.16,81.10,2087.2,0.41,60.05,2707.8,0.67,60.21
188.0,0.65,57.89,820.4,0.47,57.87,1466.6,2.67,80.75,2087.4,0.39,59.67,2708.0,0.96,60.88
188.2,0.56,58.36,820.6,0.44,57.41,1466.8,2.68,80.37,2087.6,0.41,58.34,2708.2,0.96,61.62
188.4,0.55,58.98,820.8,0.41,57.33,1467.0,1.55,80.33,2087.8,0.42,56.53,2708.4,1.08,62.41
188.6,0.50,59.50,821.0,0.45,57.51,1467.2,1.80,80.80,2088.0,0.31,54.79,2708.6,1.15,63.18
188.8,0.53,59.75,821.2,0.48,57.87,1467.4,3.47,81.72,2088.2,0.36,53.46,2708.8,0.69,63.80
189.0,0.54,59.66,821.4,0.45,58.40,1467.6,3.93,82.87,2089.2,0.46,52.59,2709.0,0.82,64.12
189.2,0.56,59.27,821.6,0.46,59.15,1467.8,4.08,83.98,2089.4,0.43,51.97,2709.2,0.49,64.04
189.4,0.58,58.77,821.8,0.49,60.22,1468.0,2.06,84.76,2089.6,0.41,51.42,2709.4,0.82,63.55
189.6,0.51,58.34,822.0,0.43,61.61,1468.2,3.33,85.04,2089.8,0.45,50.88,2709.6,0.63,62.78
189.8,0.70,58.05,822.2,0.46,63.14,1468.4,2.88,84.87,2090.0,0.44,50.48,2709.8,0.46,62.08
190.0,0.50,57.84,822.4,0.52,64.52,1468.6,2.75,84.57,2090.2,0.52,50.36,2710.0,0.83,61.86
190.2,0.50,57.59,822.6,0.42,65.52,1468.8,3.69,84.56,2090.4,0.52,50.58,2710.2,0.82,62.34
190.4,0.55,57.27,822.8,0.39,66.11,1469.0,3.99,85.05,2090.6,0.37,51.03,2710.4,1.19,63.46
190.6,0.63,56.90,823.0,0.43,66.44,1469.2,2.38,86.07,2090.8,0.48,51.53,2710.6,1.09,64.84
190.8,0.63,56.57,823.2,0.42,66.75,1469.4,1.83,87.26,2091.0,0.42,51.93,2710.8,1.56,65.93
191.0,0.68,56.40,823.4,0.41,67.11,1469.6,1.89,88.06,2091.2,0.47,52.14,2711.0,2.13,66.24
191.2,0.53,56.35,823.6,0.47,67.35,1469.8,1.35,88.21,2091.4,0.48,52.18,2711.2,1.62,65.66
191.4,0.66,56.33,823.8,0.48,67.15,1470.0,1.90,87.81,2091.6,0.46,52.11,2711.4,1.36,64.43
191.6,0.68,56.27,824.0,0.44,66.38,1470.2,1.99,87.16,2091.8,0.37,52.01,2711.6,1.11,63.00
191.8,0.57,56.16,824.2,0.44,65.13,1470.4,2.73,86.58,2092.0,0.43,51.94,2711.8,1.18,61.82
192.0,0.62,56.07,824.4,0.38,63.71,1470.6,2.36,86.16,2092.2,0.43,51.96,2712.0,1.00,61.14
192.2,0.63,56.11,824.6,0.47,62.45,1470.8,2.21,85.74,2092.4,0.42,52.08,2712.2,1.00,61.01
192.4,0.64,56.32,824.8,0.45,61.55,1471.0,2.10,85.01,2092.6,0.42,52.27,2712.4,0.95,61.27
192.6,0.59,56.68,825.0,0.48,61.02,1471.2,1.95,84.26,2092.8,0.38,52.49,2712.6,0.72,61.79
192.8,0.62,57.12,825.2,0.43,60.77,1471.4,2.37,84.21,2093.0,0.43,52.68,2712.8,1.05,62.40
193.0,0.67,57.58,825.4,0.49,60.84,1471.6,2.23,85.24,2093.2,0.48,52.81,2713.0,1.04,62.95
193.2,0.66,57.98,825.6,0.39,61.35,1471.8,2.46,87.19,2093.4,0.45,52.84,2713.2,1.31,63.30
193.4,0.71,58.29,825.8,0.44,62.51,1472.0,2.91,89.30,2093.6,0.44,52.81,2713.4,1.22,63.42
193.6,0.65,58.54,826.0,0.51,64.29,1472.2,2.54,90.48,2093.8,0.44,52.73,2713.6,1.21,63.37
193.8,0.51,58.87,826.2,0.47,66.37,1472.4,2.40,89.96,2094.0,0.46,52.62,2713.8,1.01,63.25
194.0,0.73,59.42,826.4,0.53,68.34,1472.6,2.10,87.83,2094.2,0.58,52.44,2714.0,1.01,63.15
194.2,0.67,60.29,826.6,0.46,69.90,1472.8,2.37,84.75,2094.4,0.47,52.20,2714.2,0.75,63.21
194.4,0.65,61.51,826.8,0.45,70.96,1473.0,2.14,81.56,2094.6,0.50,52.04,2714.4,1.17,63.57
194.6,0.65,62.95,827.0,0.50,71.50,1473.2,1.89,78.91,2094.8,0.43,52.13,2714.6,1.23,64.30
194.8,0.65,64.34,827.2,0.43,71.61,1473.4,1.93,77.08,2095.0,0.49,52.56,2714.8,1.10,65.33
195.0,0.62,65.40,827.4,0.46,71.16,1473.6,2.21,75.88,2095.2,0.41,53.24,2715.0,0.89,66.45
195.2,0.64,65.94,827.6,0.43,70.01,1473.8,1.41,75.02,2095.4,0.47,53.93,2715.2,0.94,67.46
195.4,0.69,65.95,827.8,0.48,68.12,1474.0,1.68,74.58,2095.6,0.53,54.35,2715.4,1.04,68.55
195.6,0.68,65.53,828.0,0.43,65.71,1474.2,1.60,74.73,2095.8,0.47,54.35,2715.6,1.08,70.09
195.8,0.68,64.95,828.2,0.45,63.19,1474.4,1.65,75.54,2096.0,0.51,53.98,2715.8,1.10,72.21
196.0,0.66,64.54,828.4,0.49,60.94,1474.6,1.89,76.87,2096.2,0.49,53.41,2716.0,0.87,74.70
196.2,0.73,64.50,828.6,0.48,59.24,1475.4,1.76,78.41,2096.4,0.42,52.87,2716.2,1.03,76.98
196.4,0.72,64.89,828.8,0.43,58.10,1475.6,1.83,79.78,2096.6,0.46,52.46,2716.4,0.94,78.17
196.6,0.75,65.55,829.0,0.47,57.40,1475.8,1.53,80.70,2096.8,0.50,52.21,2716.6,1.52,77.63
196.8,0.49,66.06,829.2,0.34,57.04,1476.0,1.30,81.07,2097.0,0.41,52.05,2716.8,1.29,75.38
197.0,0.81,66.05,829.4,0.42,56.98,1476.2,2.08,81.00,2097.2,0.41,51.90,2717.0,0.34,72.07
197.2,0.59,65.33,829.6,0.39,57.13,1476.4,2.22,80.77,2097.4,0.40,51.79,2717.2,0.47,68.54
197.4,0.69,64.04,829.8,0.48,57.40,1476.6,2.34,80.91,2097.6,0.43,51.72,2717.4,0.55,65.57
197.6,0.65,62.53,830.0,0.46,57.66,1476.8,1.41,81.80,2097.8,0.52,51.68,2717.6,0.76,63.61
197.8,0.58,61.26,830.2,0.47,57.91,1477.0,1.88,83.53,2098.0,0.49,51.67,2717.8,0.93,62.66
198.0,0.60,60.57,830.4,0.44,58.39,1477.2,1.92,85.96,2098.2,0.45,51.67,2718.0,1.01,62.50
198.2,0.73,60.81,830.6,0.47,59.31,1477.4,3.09,88.92,2098.4,0.44,51.71,2718.2,0.65,62.92
198.4,0.72,62.24,830.8,0.48,60.68,1477.6,1.74,92.10,2098.6,0.49,51.80,2718.4,0.80,63.51
198.6,0.82,64.78,831.0,0.45,62.21,1477.8,1.64,95.17,2098.8,0.48,51.89,2718.6,0.84,63.93
198.8,0.80,67.95,831.2,0.47,63.38,1478.0,1.53,97.80,2099.0,0.45,51.96,2718.8,0.79,64.04
199.0,0.77,70.82,831.4,0.47,63.72,1478.2,1.51,99.61,2099.2,0.53,51.98,2719.0,0.70,63.85
199.2,0.79,72.52,831.6,0.51,63.09,1478.4,1.94,100.32,2099.4,0.41,51.95,2719.2,0.56,63.42
199.4,0.79,72.54,831.8,0.46,61.77,1478.6,1.51,99.98,2099.6,0.42,51.89,2719.4,0.57,62.75
199.6,0.84,71.18,832.0,0.47,60.29,1478.8,2.81,98.95,2099.8,0.47,51.82,2719.6,0.54,61.87
199.8,0.56,69.39,832.2,0.51,59.06,1479.0,2.57,97.72,2100.0,0.42,51.76,2719.8,0.64,60.82
200.0,0.90,68.11,832.4,0.48,58.28,1479.2,2.87,96.76,2100.2,0.45,51.72,2720.0,0.84,59.70
200.2,0.57,67.98,832.6,0.44,57.90,1479.4,2.42,96.30,2100.4,0.45,51.70,2720.2,0.88,58.71
200.4,0.97,69.05,832.8,0.43,57.70,1479.6,2.28,96.16,2100.6,0.45,51.69,2720.4,0.71,58.06
200.6,0.62,70.72,833.0,0.55,57.55,1479.8,2.72,95.98,2100.8,0.37,51.69,2720.6,0.69,57.94
200.8,0.90,72.19,833.2,0.54,57.49,1480.0,2.87,95.70,2101.0,0.49,51.70,2720.8,0.78,58.49
201.0,0.76,73.06,833.4,0.52,57.64,1480.2,3.04,95.79,2101.2,0.40,51.76,2721.0,0.68,59.55
201.2,0.91,73.40,833.6,0.48,58.04,1480.4,2.85,97.55,2101.4,0.48,51.86,2721.2,0.45,60.78
201.4,0.71,73.39,833.8,0.50,58.65,1480.6,2.23,102.10,2101.6,0.41,52.02,2721.4,0.46,61.76
201.6,0.81,73.16,834.0,0.49,59.33,1480.8,1.92,109.31,2101.8,0.49,52.22,2721.6,0.67,62.29
201.8,0.81,72.72,834.2,0.54,59.90,1481.0,3.49,117.58,2102.0,0.60,52.42,2721.8,0.67,62.57
202.0,0.73,71.88,834.4,0.45,60.21,1481.2,1.05,124.11,2102.2,0.53,52.56,2722.0,0.47,63.16
202.2,0.93,70.41,834.6,0.42,60.24,1481.4,2.88,126.15,2102.4,0.48,52.62,2722.2,0.65,64.59
202.4,0.72,68.36,834.8,0.56,60.25,1481.6,2.71,122.39,2102.6,0.55,52.64,2722.4,0.66,66.81
202.6,0.77,65.99,835.0,0.56,60.49,1481.8,2.77,113.91,2102.8,0.48,52.68,2722.6,0.50,69.15
202.8,0.76,63.75,835.2,0.46,61.06,1482.0,1.93,103.43,2103.0,0.49,52.79,2722.8,0.49,70.58
203.0,0.86,62.14,835.4,0.50,61.80,1482.2,1.56,93.91,2103.2,0.50,52.97,2723.0,0.65,70.38
203.2,0.78,61.45,835.6,0.60,62.38,1482.4,1.12,87.31,2103.4,0.57,53.16,2723.2,0.72,68.51
203.4,0.74,61.68,835.8,0.53,62.46,1482.6,1.53,83.95,2103.6,0.48,53.32,2723.4,0.67,65.72
203.6,0.87,62.58,836.0,0.56,61.93,1482.8,1.53,82.86,2103.8,0.50,53.49,2723.6,0.65,63.03
203.8,0.83,63.83,836.2,0.53,60.96,1483.0,1.71,83.14,2104.0,0.46,53.71,2723.8,0.72,61.18
204.0,0.87,65.12,836.4,0.56,59.88,1483.2,1.72,84.55,2104.2,0.46,53.97,2724.0,0.72,60.44
204.2,0.95,66.02,836.6,0.45,58.99,1483.4,1.62,87.16,2104.4,0.54,54.14,2724.2,0.74,60.57
204.4,0.88,66.22,836.8,0.50,58.44,1483.6,1.61,90.85,2104.6,0.49,54.05,2724.4,0.55,61.15
204.6,0.82,65.66,837.0,0.50,58.34,1483.8,1.50,94.93,2104.8,0.54,53.59,2724.6,0.81,61.81
204.8,0.90,64.64,837.2,0.50,58.81,1484.0,0.87,98.31,2105.0,0.34,52.78,2724.8,0.39,62.35
205.0,1.09,63.70,837.4,0.55,59.88,1484.2,1.53,99.88,2105.2,0.47,51.85,2725.0,0.72,62.61
205.2,0.94,63.27,837.6,0.55,61.45,1484.4,1.51,99.18,2105.4,0.45,51.00,2725.2,0.90,62.44
205.4,0.85,63.44,837.8,0.55,63.23,1484.6,1.27,96.55,2105.6,0.43,50.40,2725.4,0.84,61.71
205.6,1.04,64.15,838.0,0.70,64.76,1484.8,1.37,93.11,2105.8,0.40,50.05,2725.6,0.66,60.37
205.8,1.05,65.26,838.2,0.72,65.54,1485.0,1.52,89.87,2106.0,0.44,49.91,2725.8,0.57,58.58
206.0,0.89,66.61,838.4,0.57,65.41,1485.2,1.44,87.70,2106.2,0.43,49.91,2726.0,0.55,56.83
206.2,0.52,68.14,838.6,0.76,64.66,1485.4,1.07,86.88,2106.4,0.41,50.01,2726.2,0.50,55.69
206.4,0.67,69.65,838.8,0.63,63.72,1485.6,1.22,87.25,2106.6,0.42,50.21,2726.4,0.50,55.72
206.6,0.76,70.79,839.0,0.83,63.08,1485.8,0.83,88.50,2106.8,0.41,50.47,2726.6,0.60,57.05
206.8,0.84,71.15,839.2,0.82,63.03,1486.0,1.34,90.16,2107.0,0.35,50.71,2726.8,0.77,59.25
207.0,0.74,70.48,839.4,0.68,63.53,1486.4,1.38,91.93,2107.2,0.43,50.86,2727.0,0.77,61.49
207.2,0.76,68.84,839.6,0.77,64.22,1486.6,1.46,93.34,2107.4,0.40,50.93,2727.2,0.63,63.06
207.4,0.80,66.64,839.8,0.69,64.65,1486.8,1.30,93.99,2107.6,0.41,50.93,2727.4,0.92,63.87
207.6,0.69,64.51,840.0,0.76,64.54,1487.0,1.33,93.78,2107.8,0.35,50.89,2727.6,0.72,64.37
207.8,0.52,63.04,840.2,0.69,63.73,1487.2,1.14,93.06,2108.0,0.42,50.88,2727.8,0.53,65.16
208.0,0.46,62.39,840.4,0.79,62.35,1487.4,1.18,92.60,2108.2,0.26,50.91,2728.0,0.88,66.45
208.2,0.95,62.40,840.6,0.72,60.71,1487.6,1.29,93.17,2108.4,0.35,51.02,2728.2,1.10,67.82
208.4,0.80,62.82,840.8,0.69,59.14,1487.8,1.07,94.89,2108.6,0.37,51.18,2728.4,0.99,68.52
208.6,0.83,63.34,841.0,0.66,57.92,1488.0,1.35,97.04,2108.8,0.40,51.35,2728.6,0.96,68.04
208.8,1.12,63.89,841.2,0.63,57.16,1488.2,0.78,98.60,2109.0,0.44,51.46,2728.8,0.87,66.42
209.0,0.77,64.47,841.4,0.64,56.84,1488.4,1.05,98.71,2109.2,0.41,51.48,2729.0,0.76,64.14
209.2,1.02,65.06,841.6,0.56,56.81,1488.6,1.34,97.32,2109.4,0.40,51.40,2729.2,0.76,61.89
209.4,0.98,65.54,841.8,0.80,56.93,1488.8,1.40,95.14,2109.6,0.38,51.30,2729.4,0.83,60.11
209.6,0.93,65.82,842.0,0.64,57.06,1489.0,1.38,93.11,2109.8,0.36,51.28,2729.6,0.81,58.90
209.8,0.94,65.88,842.2,0.65,57.16,1489.2,1.22,91.85,2110.0,0.39,51.47,2729.8,0.58,58.05
210.0,1.15,65.72,842.4,0.69,57.34,1489.4,1.11,91.31,2110.2,0.36,51.87,2730.0,0.55,57.38
210.2,1.05,65.53,842.6,0.76,57.87,1489.6,1.27,91.10,2110.4,0.33,52.37,2730.2,0.47,56.90
210.4,0.89,65.55,842.8,0.65,58.96,1489.8,0.97,90.76,2110.6,0.34,52.78,2730.4,0.72,56.74
210.6,1.18,65.92,843.0,0.86,60.70,1490.0,1.03,90.21,2110.8,0.35,52.93,2730.6,0.76,57.01
210.8,1.13,66.67,843.2,0.77,62.88,1490.2,1.14,89.72,2111.0,0.41,52.71,2730.8,0.59,57.68
211.0,1.80,67.74,843.4,0.66,65.10,1490.4,1.22,89.40,2111.2,0.37,52.16,2731.0,0.67,58.52
211.2,2.17,68.90,843.6,0.49,66.94,1490.6,1.18,89.12,2111.4,0.33,51.45,2731.2,0.77,59.20
211.4,1.33,69.80,843.8,0.72,68.15,1490.8,1.23,88.58,2111.6,0.21,50.76,2731.4,0.84,59.47
211.6,1.57,70.17,844.0,0.79,68.68,1491.0,1.25,87.54,2111.8,0.29,50.26,2731.6,0.78,59.32
211.8,1.58,69.81,844.2,0.88,68.65,1491.2,1.04,86.02,2112.0,0.26,50.00,2731.8,0.63,59.12
212.0,1.43,68.70,844.4,0.84,68.15,1491.4,1.04,84.27,2112.2,0.26,49.97,2732.0,0.55,59.30
212.2,2.00,67.25,844.6,0.75,67.22,1491.6,0.83,82.69,2112.4,0.31,50.09,2732.2,0.53,60.05
212.4,1.14,65.97,844.8,0.87,65.94,1491.8,0.69,81.61,2112.6,0.29,50.26,2732.4,0.61,61.15
212.6,1.07,65.18,845.0,0.91,64.43,1492.0,0.75,81.17,2112.8,0.31,50.40,2732.6,0.59,62.06
212.8,0.92,64.85,845.2,0.77,62.97,1492.2,0.79,81.33,2113.0,0.30,50.48,2732.8,0.48,62.23
213.0,1.27,64.76,845.4,0.67,61.98,1492.4,0.72,81.86,2113.2,0.36,50.55,2733.0,0.39,61.54
213.2,1.33,64.77,845.6,0.74,61.70,1492.6,0.82,82.33,2113.4,0.28,50.68,2733.2,0.65,60.34
213.4,1.54,64.90,845.8,0.78,62.02,1492.8,0.76,82.42,2113.6,0.26,50.90,2733.4,0.78,59.16
213.6,1.30,65.35,846.0,0.84,62.65,1493.0,0.62,81.94,2113.8,0.31,51.17,2733.6,0.66,58.36
213.8,1.68,66.20,846.2,0.84,63.24,1493.2,0.84,80.96,2114.0,0.32,51.40,2733.8,0.49,57.97
214.0,1.38,67.22,846.4,0.76,63.58,1493.4,0.82,79.75,2114.2,0.30,51.50,2734.0,0.58,57.80
214.2,1.27,67.97,846.6,0.81,63.66,1493.6,0.72,79.20,2114.4,0.32,51.39,2734.2,0.48,57.56
214.4,1.43,68.07,846.8,0.66,63.66,1493.8,0.72,80.84,2114.6,0.30,51.08,2734.4,0.44,57.19
214.6,1.24,67.43,847.0,0.69,63.74,1494.0,0.68,85.91,2114.8,0.29,50.64,2734.6,0.47,56.82
214.8,1.35,66.26,847.2,0.56,63.94,1494.2,0.79,94.51,2115.0,0.29,50.20,2734.8,0.51,56.57
215.0,1.30,65.05,847.4,0.81,64.21,1494.4,0.74,104.99,2115.2,0.26,49.82,2735.0,0.57,56.45
215.2,1.30,64.18,847.6,0.70,64.42,1494.6,0.41,114.53,2115.4,0.22,49.57,2735.2,0.56,56.36
215.4,1.30,63.82,847.8,0.75,64.51,1494.8,0.46,120.25,2115.6,0.26,49.48,2735.4,0.54,56.14
215.6,1.46,63.86,848.0,0.63,64.49,1495.0,0.74,120.60,2115.8,0.29,49.69,2735.6,0.41,55.78
215.8,1.27,64.11,848.2,0.75,64.50,1495.2,0.79,116.08,2116.0,0.26,50.60,2735.8,0.45,55.42
216.0,1.05,64.40,848.4,0.71,64.61,1495.4,0.62,108.75,2116.2,0.23,52.58,2736.0,0.50,55.21
216.2,1.30,64.59,848.6,0.56,64.83,1495.6,0.55,101.10,2116.4,0.24,55.61,2736.2,0.46,55.28
216.4,0.92,64.58,848.8,0.48,65.06,1495.8,0.60,94.90,2116.6,0.30,59.09,2736.4,0.60,55.54
216.6,1.05,64.37,849.0,0.79,65.13,1496.0,0.51,90.73,2116.8,0.22,62.01,2736.6,0.56,55.78
216.8,0.90,64.07,849.2,0.80,64.88,1496.2,0.53,88.02,2117.0,0.29,63.30,2736.8,0.45,55.78
217.0,1.14,63.81,849.4,0.77,64.28,1496.4,0.54,86.00,2117.2,0.28,62.41,2737.0,0.54,55.48
217.2,1.08,63.72,849.6,0.73,63.45,1496.6,0.59,84.20,2117.4,0.25,59.65,2737.2,0.52,55.04
217.4,1.30,63.90,849.8,0.68,62.63,1496.8,0.55,82.41,2117.6,0.32,55.99,2737.4,0.51,54.79
217.6,1.15,64.35,850.0,0.68,62.06,1497.0,0.59,80.55,2117.8,0.23,52.61,2737.6,0.52,55.13
217.8,1.27,65.03,850.2,0.82,61.84,1497.2,0.49,78.63,2118.0,0.28,50.28,2737.8,0.43,56.23
218.0,1.28,65.86,850.4,0.66,61.82,1497.4,0.44,76.86,2118.2,0.27,49.22,2738.0,0.45,57.92
218.2,1.23,66.71,850.6,0.85,61.90,1497.6,0.43,75.50,2118.4,0.22,49.09,2738.2,0.50,59.69
218.4,1.28,67.44,850.8,0.79,62.22,1497.8,0.52,74.73,2118.6,0.29,49.38,2738.4,0.37,60.97
218.6,1.10,67.90,851.0,0.78,63.11,1498.0,0.50,74.66,2118.8,0.29,49.77,2738.6,0.41,61.35
218.8,0.85,68.00,851.2,0.71,64.88,1498.2,0.51,75.40,2119.0,0.23,50.13,2738.8,0.42,60.79
219.0,1.24,67.75,851.4,0.53,67.58,1498.4,0.45,77.11,2119.2,0.26,50.39,2739.0,0.48,59.65
219.2,1.19,67.28,851.6,1.05,70.74,1498.6,0.43,79.85,2119.4,0.30,50.53,2739.2,0.49,58.38
219.4,1.29,66.96,851.8,1.28,73.47,1498.8,0.51,83.43,2119.6,0.25,50.54,2739.4,0.48,57.33
219.6,1.43,67.25,852.0,1.18,74.97,1499.0,0.50,87.30,2119.8,0.27,50.36,2739.6,0.49,56.61
219.8,1.54,68.49,852.2,1.06,75.00,1499.2,0.52,90.65,2120.0,0.27,50.03,2739.8,0.48,56.10
220.0,1.44,70.57,852.4,1.27,73.96,1499.4,0.60,92.57,2120.2,0.26,49.66,2740.0,0.43,55.60
220.2,0.36,73.02,852.6,0.57,72.68,1499.6,0.52,92.46,2120.4,0.29,49.51,2740.2,0.38,55.04
220.4,1.29,75.18,852.8,0.64,71.92,1499.8,0.50,90.26,2120.6,0.32,49.79,2740.4,0.38,54.46
220.6,1.81,76.38,853.0,0.88,71.92,1500.0,0.52,86.43,2120.8,0.27,50.48,2740.6,0.45,53.91
220.8,2.09,76.37,853.2,0.83,72.34,1500.2,0.52,81.86,2121.0,0.33,51.38,2740.8,0.48,53.44
221.0,2.37,75.53,853.4,1.38,72.65,1500.4,0.52,77.53,2121.2,0.29,52.15,2741.0,0.45,53.07
221.2,1.55,74.69,853.6,1.17,72.43,1500.6,0.50,74.22,2121.4,0.31,52.46,2741.2,0.37,52.84
221.4,2.06,74.53,853.8,1.14,71.60,1500.8,0.34,72.33,2121.6,0.28,52.24,2741.4,0.37,52.75
221.6,1.36,75.23,854.0,1.31,70.37,1501.0,0.40,71.93,2121.8,0.25,51.63,2741.6,0.38,52.80
221.8,1.08,76.38,854.2,1.30,69.13,1501.2,0.43,72.82,2122.0,0.25,50.87,2741.8,0.39,52.92
222.0,1.48,77.34,854.4,1.28,68.25,1501.4,0.53,74.57,2122.2,0.26,50.19,2742.0,0.39,53.03
222.2,1.31,77.67,854.6,1.08,67.98,1501.6,0.48,76.61,2122.4,0.27,49.67,2742.2,0.37,53.06
222.4,1.00,77.38,854.8,1.20,68.33,1501.8,0.57,78.44,2122.6,0.22,49.29,2742.4,0.38,53.07
222.6,0.74,76.83,855.0,0.60,69.15,1502.0,0.69,79.71,2122.8,0.26,48.97,2742.6,0.34,53.11
222.8,1.65,76.31,855.2,1.20,70.16,1502.2,0.68,80.29,2123.0,0.27,48.73,2742.8,0.33,53.21
223.0,1.35,76.01,855.4,0.98,71.02,1502.4,0.65,80.18,2123.2,0.24,48.54,2743.0,0.39,53.36
223.2,0.83,75.95,855.6,1.24,71.43,1502.6,0.56,79.48,2123.4,0.24,48.40,2743.2,0.37,53.49
223.4,1.93,76.04,855.8,1.30,71.30,1502.8,0.51,78.38,2123.6,0.28,48.29,2743.4,0.45,53.54
223.6,1.50,76.34,856.0,1.29,70.72,1503.0,0.48,77.15,2123.8,0.28,48.24,2743.6,0.42,53.51
223.8,2.21,77.01,856.2,1.16,69.87,1503.2,0.40,76.10,2124.0,0.26,48.29,2743.8,0.42,53.46
224.0,2.24,78.36,856.4,1.19,68.93,1503.4,0.44,75.45,2124.2,0.22,48.50,2744.0,0.40,53.44
224.2,2.27,80.56,856.6,1.05,68.00,1503.6,0.57,75.29,2124.4,0.25,48.86,2744.2,0.52,53.49
224.4,2.26,83.43,856.8,0.98,67.14,1503.8,0.52,75.53,2124.6,0.24,49.32,2744.4,0.50,53.55
224.6,2.19,86.53,857.0,1.06,66.34,1504.0,0.67,75.92,2124.8,0.26,49.78,2744.6,0.43,53.60
224.8,2.60,89.10,857.2,1.09,65.67,1504.2,0.87,76.22,2125.0,0.22,50.09,2744.8,0.27,53.61
225.0,2.82,90.28,857.4,1.20,65.22,1504.4,0.62,76.29,2125.2,0.26,50.19,2745.0,0.33,53.60
225.2,1.96,89.49,857.6,0.90,65.02,1504.6,0.55,76.15,2125.4,0.23,50.08,2745.2,0.34,53.64
225.4,2.73,86.83,857.8,1.14,65.09,1504.8,0.63,75.88,2125.6,0.23,49.87,2745.4,0.32,53.75
225.6,1.17,83.07,858.0,0.97,65.38,1505.0,0.59,75.61,2125.8,0.19,49.72,2745.6,0.32,53.94
225.8,0.70,79.35,858.2,1.13,65.87,1505.2,0.59,75.40,2126.0,0.19,49.74,2745.8,0.37,54.13
226.0,1.22,76.60,858.4,1.16,66.61,1505.4,0.59,75.27,2126.2,0.20,49.97,2746.0,0.30,54.21
226.2,1.79,75.24,858.6,1.06,67.63,1505.6,0.59,75.23,2126.4,0.19,50.37,2746.2,0.33,54.10
226.4,1.72,74.98,858.8,1.47,68.84,1505.8,0.62,75.22,2126.6,0.16,50.86,2746.4,0.28,53.78
226.6,1.42,75.26,859.0,1.13,69.98,1506.0,0.83,75.08,2126.8,0.23,51.36,2746.6,0.27,53.31
226.8,1.68,75.58,859.2,1.19,70.70,1506.2,0.81,74.71,2127.0,0.23,51.87,2746.8,0.31,52.82
227.0,0.98,75.58,859.4,1.04,70.77,1506.4,0.89,74.07,2127.2,0.29,52.37,2747.0,0.36,52.47
227.2,1.84,75.09,859.6,0.57,70.17,1506.6,0.73,73.23,2127.4,0.31,52.89,2747.2,0.44,52.30
227.4,2.81,74.04,859.8,1.18,69.15,1506.8,0.48,72.31,2127.6,0.34,53.39,2747.4,0.40,52.30
227.6,2.22,72.44,860.0,1.28,68.32,1507.0,0.47,71.47,2127.8,0.43,53.77,2747.6,0.37,52.36
227.8,1.51,70.53,860.2,1.44,68.20,1507.2,0.51,70.79,2128.0,0.39,53.95,2747.8,0.31,52.39
